Variant,Date,Day Start Equity,Start Ticker,Intraday Switch Time,Intraday Switch,Buy Time,Buy Ticker,End-of-Day Ticker,Day End Equity,PnL ($),Return %,Drawdown %,Sell Time Price,Buy Time Price
G1-570248,2025-10-08,19475.16,SOXL,no change,no change,no change,no change,SOXL,21429.18,1954.02,10.03,0.0,,
G1-570248,2025-10-09,21429.18,SOXL,no change,no change,no change,no change,SOXL,21073.9,-355.28,-1.66,1.66,,
G1-570248,2025-10-10,21073.9,SOXL,no change,no change,no change,no change,SOXL,17275.95,-3797.96,-18.02,19.38,,
G1-570248,2025-10-13,17275.95,SOXL,04:00,SOXL,15:55,SOXL,SOXL,18685.72,1409.77,8.16,12.8,37.81,39.145
G1-570248,2025-10-14,18685.72,SOXL,no change,no change,no change,no change,SOXL,17487.58,-1198.14,-6.41,18.39,,
G1-570248,2025-10-15,17487.58,SOXL,11:37,SOXL,15:55,SOXL,SOXL,18749.4,1261.82,7.22,12.51,39.3,39.7899
G1-570248,2025-10-16,18749.4,SOXL,no change,no change,no change,no change,SOXL,19074.58,325.18,1.73,10.99,,
G1-570248,2025-10-17,19074.58,SOXL,no change,no change,no change,no change,SOXL,18942.64,-131.94,-0.69,11.6,,
G1-570248,2025-10-20,18942.64,SOXL,no change,no change,no change,no change,SOXL,19989.29,1046.65,5.53,6.72,,
G1-570248,2025-10-21,19989.29,SOXL,no change,no change,no change,no change,SOXL,19628.25,-361.04,-1.81,8.4,,
G1-570248,2025-10-22,19628.25,SOXL,no change,no change,15:55,SOXS,SOXS,18003.69,-1624.56,-8.28,15.99,,4.235
G1-570248,2025-10-23,18003.69,SOXS,09:50,SOXS,15:55,SOXL,SOXL,17087.23,-916.46,-5.09,20.26,4.02,41.24
G1-570248,2025-10-24,17087.23,SOXL,no change,no change,no change,no change,SOXL,18004.98,917.75,5.37,15.98,,
G1-570248,2025-10-27,18004.98,SOXL,no change,no change,no change,no change,SOXL,19446.87,1441.89,8.01,9.25,,
G1-570248,2025-10-28,19446.87,SOXL,no change,no change,no change,no change,SOXL,19498.67,51.79,0.27,9.01,,
G1-570248,2025-10-29,19498.67,SOXL,no change,no change,no change,no change,SOXL,20511.72,1013.05,5.2,4.28,,
G1-570248,2025-10-30,20511.72,SOXL,no change,no change,no change,no change,SOXL,19755.18,-756.54,-3.69,7.81,,
G1-570248,2025-10-31,19755.18,SOXL,no change,no change,no change,no change,SOXL,19929.58,174.39,0.88,7.0,,
G1-570248,2025-11-03,19929.58,SOXL,no change,no change,no change,no change,SOXL,20128.46,198.88,1.0,6.07,,
G1-570248,2025-11-04,20128.46,SOXL,no change,no change,no change,no change,SOXL,17731.52,-2396.94,-11.91,17.26,,
G1-570248,2025-11-05,17731.52,SOXL,15:50,SOXL,15:55,SOXS,SOXS,19620.95,1889.43,10.66,8.44,47.3901,3.275
G1-570248,2025-11-06,19620.95,SOXS,no change,no change,15:55,SOXL,SOXL,21414.02,1793.07,9.14,0.07,,43.07
G1-570248,2025-11-07,21414.02,SOXL,no change,no change,15:55,SOXS,SOXS,20488.46,-925.56,-4.32,4.39,,3.735
G1-570248,2025-11-10,20488.46,SOXS,04:00,SOXS,15:55,SOXL,SOXL,18800.71,-1687.76,-8.24,12.27,3.415,45.085
G1-570248,2025-11-11,18800.71,SOXL,no change,no change,no change,no change,SOXL,17435.01,-1365.69,-7.26,18.64,,
G1-570248,2025-11-12,17435.01,SOXL,no change,no change,15:55,SOXS,SOXS,18190.42,755.41,4.33,15.11,,3.4795
G1-570248,2025-11-13,18190.42,SOXS,no change,no change,15:55,SOXL,SOXL,20012.63,1822.21,10.02,6.61,,39.135
G1-570248,2025-11-14,20012.63,SOXL,no change,no change,15:55,SOXS,SOXS,19835.21,-177.42,-0.89,7.44,,3.87
G1-570248,2025-11-17,19835.21,SOXS,no change,no change,no change,no change,SOXS,20829.25,994.04,5.01,2.8,,
G1-570248,2025-11-18,20829.25,SOXS,no change,no change,no change,no change,SOXS,22022.46,1193.21,5.73,0.0,,
G1-570248,2025-11-19,22022.46,SOXS,17:36,SOXL,no change,no change,SOXS,21039.75,-982.7,-4.46,4.46,38.27,
